database,variable,variable_label,unit,window,outcome_group,outcome_label,group_n,observed_n,missing_n,missing_percent,median,q1,q3,mean,sd
MIMIC-IV,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,0.03000876949954545,0.020006229533464648,0.04999344528187066,0.04182103480990432,0.0637515679786489
MIMIC-IV,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,restart_first,Restart first,3468,3468,0,0.0,0.03070858401770238,0.02002917608479038,0.050173090130556375,0.053233560513481014,0.08067844630378988
MIMIC-IV,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,0.3629794155131094,0.15018082290771417,0.6897262850761763,0.491258056999658,0.4730331588406979
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,0.04623690874723252,0.030001677259861026,0.07136612020985922,0.05994546678463261,0.057499404267782155
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first,Restart first,3468,3468,0,0.0,0.05000121891498566,0.0320844775956175,0.08117214268471191,0.07063595158733053,0.07131773193793568
MIMIC-IV,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,0.3587452213072943,0.15630848274364934,0.6579153644755327,0.4746573552357435,0.4403774830801706
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,no_recorded_event,No recorded event under complete observation,4336,4336,0,0.0,1.0,1.0,1.0,1.0938653136531364,0.31670041124516135
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first,Restart first,3468,3468,0,0.0,1.0,1.0,1.0,1.1487889273356402,0.39656184394846056
MIMIC-IV,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,death_first,Death first / administrative death proxy first,1475,1475,0,0.0,2.0,1.0,3.0,2.113220338983051,1.0490327014982133
eICU,age,Age,years,At admission/index record,no_recorded_event,No recorded event under complete observation,4118,4118,0,0.0,67.0,57.0,77.0,65.83414278776105,14.647884975452204
eICU,age,Age,years,At admission/index record,restart_first,Restart first,2457,2457,0,0.0,67.0,57.0,77.0,65.58241758241758,14.893945937398197
eICU,age,Age,years,At admission/index record,death_first,Death first / administrative death proxy first,204,204,0,0.0,73.5,62.75,81.0,71.12254901960785,13.135507527404922
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,no_recorded_event,No recorded event under complete observation,4118,4118,0,0.0,24.0,13.0,45.65833333333333,37.44080864497329,42.51353976536458
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,restart_first,Restart first,2457,2457,0,0.0,24.0,13.0,52.2,45.89896893230227,65.47452052700783
eICU,duration_hours,Qualifying vasopressor episode duration,hours,Episode start to reconstructed cessation,death_first,Death first / administrative death proxy first,204,204,0,0.0,34.45833333333333,16.0,72.3125,54.861192810457524,63.06661338937502
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,no_recorded_event,No recorded event under complete observation,4118,4118,0,0.0,1.0,1.0,1.0,1.284604176784847,0.5906822247214938
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,restart_first,Restart first,2457,2457,0,0.0,1.0,1.0,1.0,1.3056573056573058,0.599080240832367
eICU,distinct_drugs,Distinct vasopressors in qualifying episode,count,Qualifying episode,death_first,Death first / administrative death proxy first,204,204,0,0.0,2.0,1.0,3.0,2.019607843137255,1.0408445997954756
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,no_recorded_event,No recorded event under complete observation,4118,4104,14,0.3399708596406022,76.0,69.0,85.0,77.8635477582846,13.919825325976197
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,restart_first,Restart first,2457,2446,11,0.4477004477004477,72.5,65.0,81.0,74.57645134914145,15.403146885841013
eICU,map_last,Last MAP,mm Hg,Latest recorded value before cessation,death_first,Death first / administrative death proxy first,204,203,1,0.49019607843137253,57.0,43.0,71.5,58.566502463054185,22.273263755021098
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,no_recorded_event,No recorded event under complete observation,4118,4104,14,0.3399708596406022,87.0,75.0,99.0,87.70833333333333,17.739825464381052
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,restart_first,Restart first,2457,2447,10,0.40700040700040696,87.0,75.0,100.0,88.54025337147527,18.951133366208534
eICU,heart_rate_last,Last heart rate,beats/min,Latest recorded value before cessation,death_first,Death first / administrative death proxy first,204,204,0,0.0,96.0,76.0,112.25,94.07843137254902,28.264823051946188
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,no_recorded_event,No recorded event under complete observation,4118,1755,2363,57.38222438076737,0.026881720430107524,0.01539646793884082,0.05,0.1462727602700077,1.7186238339412239
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,restart_first,Restart first,2457,1068,1389,56.53235653235653,0.03269931628565405,0.02,0.06773935001249645,0.10022404161197475,1.2262632259622532
eICU,nee_last_5min,Last norepinephrine-equivalent dose,micrograms/kg/min,Last 5 min before cessation,death_first,Death first / administrative death proxy first,204,83,121,59.31372549019608,0.2375594294770206,0.09970178926441353,0.5741029156788974,0.4325421616417335,0.5201260039729815
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,no_recorded_event,No recorded event under complete observation,4118,1755,2363,57.38222438076737,1.0,1.0,1.0,1.052991452991453,0.2340362645638746
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,restart_first,Restart first,2457,1068,1389,56.53235653235653,1.0,1.0,1.0,1.0842696629213484,0.28127393008611834
eICU,active_agents_last_5min,Active vasopressors,count,Last 5 min before cessation,death_first,Death first / administrative death proxy first,204,83,121,59.31372549019608,1.0,1.0,2.0,1.5421686746987953,0.8009324568714726
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,no_recorded_event,No recorded event under complete observation,4118,4049,69,1.6755706653715396,76.16666666666667,69.66666666666667,84.57142857142857,77.95353195810056,12.312404649211919
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,restart_first,Restart first,2457,2420,37,1.505901505901506,73.58333333333333,67.08333333333333,80.7548076923077,75.12026155996422,12.918656755422724
eICU,map_mean_1h,Mean MAP,mm Hg,1 h before cessation,death_first,Death first / administrative death proxy first,204,199,5,2.450980392156863,60.666666666666664,51.725,71.39880952380952,62.70008679327701,16.857251210290258
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,no_recorded_event,No recorded event under complete observation,4118,4104,14,0.3399708596406022,75.6863425925926,70.3023349436393,82.5297619047619,77.18317275043161,10.531155476421374
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,restart_first,Restart first,2457,2446,11,0.4477004477004477,73.33333333333333,68.38063660477454,79.46955128205128,74.70031132504279,10.267094563396528
eICU,map_mean_6h,Mean MAP,mm Hg,6 h before cessation,death_first,Death first / administrative death proxy first,204,203,1,0.49019607843137253,65.52054794520548,59.14090909090909,72.44444444444444,66.48883071188794,12.50622298125638
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,no_recorded_event,No recorded event under complete observation,4118,4082,36,0.8742107819329772,86.20833333333334,74.83333333333333,98.66666666666667,87.31742299632427,17.15757579658946
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,restart_first,Restart first,2457,2438,19,0.7733007733007733,86.08333333333333,74.83333333333333,99.22916666666667,87.86988931563378,18.288673922805312
eICU,heart_rate_mean_1h,Mean heart rate,beats/min,1 h before cessation,death_first,Death first / administrative death proxy first,204,200,4,1.9607843137254901,98.5,78.91666666666666,112.66666666666666,97.47867496392497,23.489004414814097
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,no_recorded_event,No recorded event under complete observation,4118,4104,14,0.3399708596406022,85.67589421613394,74.25,97.23630136986301,86.32641427194754,16.51855607308634
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,restart_first,Restart first,2457,2447,10,0.40700040700040696,85.40277777777777,74.375,97.57924277016743,86.68047461415502,17.385661780808512
eICU,heart_rate_mean_6h,Mean heart rate,beats/min,6 h before cessation,death_first,Death first / administrative death proxy first,204,204,0,0.0,98.23506468797564,80.70486111111111,111.84635416666667,97.7364387806172,20.1570166538872
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,no_recorded_event,No recorded event under complete observation,4118,1033,3085,74.91500728508986,0.024600246002460024,0.0141643059490085,0.039999999999999994,0.09051159014869176,1.2352748962623163
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,restart_first,Restart first,2457,781,1676,68.21326821326821,0.030138637733574444,0.019999999999999997,0.05324675324675325,0.05525682439335551,0.08881645400381481
eICU,nee_mean_1h,Mean norepinephrine-equivalent dose,micrograms/kg/min,1 h before cessation,death_first,Death first / administrative death proxy first,204,52,152,74.50980392156863,0.31913750071382263,0.09999999999999999,0.7029887683228633,0.5335827298087843,0.5967141890663774
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,no_recorded_event,No recorded event under complete observation,4118,1755,2363,57.38222438076737,0.03840245775729649,0.02308334671591456,0.06668213005632362,0.15798788859364596,1.7173720785813167
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,restart_first,Restart first,2457,1068,1389,56.53235653235653,0.05052486493344541,0.030000000000000013,0.09085366067776164,0.11342935995956961,1.224677775359351
eICU,nee_mean_6h,Mean norepinephrine-equivalent dose,micrograms/kg/min,6 h before cessation,death_first,Death first / administrative death proxy first,204,83,121,59.31372549019608,0.24523160762942775,0.11097560975609749,0.5641300128078359,0.4290864517647438,0.48425428547979016
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,no_recorded_event,No recorded event under complete observation,4118,1755,2363,57.38222438076737,1.0,1.0,1.0,1.062108262108262,0.25742142907980015
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,restart_first,Restart first,2457,1068,1389,56.53235653235653,1.0,1.0,1.0,1.094569288389513,0.29594019930997556
eICU,maximum_active_agents_6h,Maximum simultaneous vasopressors,count,6 h before cessation,death_first,Death first / administrative death proxy first,204,83,121,59.31372549019608,1.0,1.0,2.0,1.6265060240963856,0.8368180641718027
